18.09 open;18.09 max;18.09 min;18.09 close;18.10 open;18.10 max;18.10 min;18.10 close;20.11 open;20.11 max;20.11 min;20.11 close;18.12 open;18.12 max;18.12 min;18.12 close
109500;109510;109490;109510;115410;115410;115330;115370;112510;112520;112450;112450;109440;109560;109440;109550
109510;109550;109500;109540;115380;115380;115350;115350;112440;112460;112380;112420;109550;109630;109540;109630
109550;109570;109530;109550;115350;115420;115340;115420;112400;112480;112340;112470;109630;109680;109600;109610
109520;109560;109520;109550;115410;115650;115400;115520;112470;112480;112420;112420;109600;109630;109550;109630
109560;109620;109560;109620;115520;115600;115500;115530;112430;112470;112420;112470;109640;109650;109590;109620
109630;109660;109620;109620;115540;115600;115520;115550;112470;112500;112440;112470;109620;109780;109620;109700
109620;109620;109570;109580;115550;115600;115550;115570;112450;112470;112420;112440;109700;109820;109690;109800
109590;109600;109560;109560;115570;115580;115510;115550;112450;112450;112400;112420;109790;110000;109790;109920
109570;109570;109550;109550;115560;115590;115510;115510;112430;112440;112380;112440;109940;110010;109870;109930
109550;109560;109530;109550;115510;115550;115510;115510;112450;112470;112420;112470;109920;109940;109790;109800
109560;109580;109540;109580;115510;115510;115410;115440;112480;112490;112400;112420;109810;109810;109720;109730
109580;109580;109550;109570;115430;115490;115430;115460;112410;112420;112310;112350;109730;109800;109700;109740
109570;109610;109550;109560;115460;115490;115430;115430;112350;112440;112320;112350;109740;109800;109730;109790
109560;109560;109470;109470;115430;115470;115350;115360;112360;112430;112350;112420;109790;109810;109750;109760
109470;109500;109470;109470;115360;115360;115270;115290;112410;112420;112350;112370;109770;109770;109700;109730
109460;109570;109450;109530;115290;115310;115270;115280;112390;112500;112390;112440;109720;109750;109720;109730
109520;109580;109520;109530;115270;115290;115240;115270;112440;112470;112380;112400;109740;109740;109650;109690
109530;109530;109470;109480;115270;115320;115260;115290;112410;112430;112380;112390;109680;109720;109610;109670
109470;109490;109440;109490;115290;115300;115210;115220;112400;112400;112300;112310;109690;109710;109650;109710
109500;109540;109500;109520;115230;115260;115170;115230;112330;112400;112300;112400;109710;109740;109660;109680
109520;109540;109460;109460;115230;115240;115200;115220;112390;112450;112380;112430;109690;109740;109670;109720
109470;109500;109430;109440;115200;115210;115180;115200;112430;112450;112390;112410;109730;109780;109680;109690
109450;109480;109430;109480;115220;115240;115200;115220;112410;112430;112390;112410;109690;109730;109690;109710
109480;109480;109440;109440;115220;115220;115180;115210;112410;112440;112370;112440;109710;109720;109690;109710
109440;109490;109440;109480;115200;115240;115200;115230;112440;112480;112420;112430;109710;109710;109610;109610
109480;109510;109450;109450;115230;115240;115170;115180;112440;112460;112390;112460;109620;109670;109600;109630
109440;109440;109410;109420;115180;115210;115160;115160;112460;112470;112380;112440;109630;109650;109540;109610
109420;109480;109420;109470;115160;115200;115150;115170;112450;112450;112360;112400;109610;109610;109510;109570
109460;109520;109430;109480;115180;115200;115160;115190;112400;112460;112400;112460;109570;109600;109550;109590
109490;109500;109430;109430;115180;115180;115110;115110;112450;112450;112380;112400;109580;109610;109580;109610
109440;109460;109440;109440;115110;115130;115070;115090;112410;112420;112380;112400;109600;109630;109600;109620
109450;109480;109450;109470;115080;115120;115080;115090;112400;112460;112390;112450;109630;109650;109570;109600
109460;109490;109400;109430;115090;115170;115080;115150;112440;112620;112440;112560;109590;109660;109570;109640
109430;109540;109430;109500;115150;115180;115130;115170;112560;112620;112560;112580;109650;109790;109650;109770
109490;109530;109490;109500;115180;115200;115130;115160;112580;112620;112540;112600;109760;109780;109720;109770
109510;109510;109490;109510;115170;115170;115120;115160;112610;112750;112610;112740;109770;109780;109680;109700
109510;109520;109490;109490;115160;115180;115160;115170;112740;112750;112670;112700;109700;109720;109680;109720
109520;109540;109500;109510;115160;115180;115120;115170;112700;112770;112680;112700;109720;109750;109700;109700
109510;109530;109500;109510;115170;115180;115140;115150;112700;112740;112680;112720;109710;109710;109650;109680
109500;109520;109500;109520;115150;115170;115140;115140;112730;112740;112700;112720;109680;109710;109670;109700
109520;109530;109510;109520;115160;115170;115140;115140;112730;112730;112660;112660;109690;109740;109690;109740
109530;109560;109530;109540;115140;115150;115100;115140;112650;112720;112650;112700;109740;109790;109720;109790
109540;109550;109530;109540;115140;115170;115110;115160;112700;112740;112700;112720;109780;109820;109750;109750
109560;109560;109520;109540;115160;115170;115110;115120;112730;112810;112730;112790;109740;109780;109740;109750
109550;109570;109550;109570;115120;115140;115080;115080;112780;112790;112730;112730;109750;109750;109710;109730
